240	2	0	1	1
192	76	277	4	C
38	56	107	10	C
2	74	92	3	C
56	69	97	1	C
36	57	86	3	C
20	44	304	7	C
31	87	301	3	C
56	84	305	3	R
85	61	326	12	R
275	87	87	1	R
142	86	52	4	O
356	52	116	11	L
283	87	96	3	R
223	88	133	2	C
320	59	115	1	L
32	81	113	2	R
70	60	129	1	R
206	89	116	1	C
177	86	127	15	L
173	86	126	2	L
64	87	334	3	C
172	86	142	3	L
352	89	130	0	L
107	85	17	5	O
187	89	128	8	L
8	81	147	2	L
84	65	140	2	R
244	83	154	7	C
9	87	318	3	L
182	87	141	0	L
163	89	166	3	L
349	85	340	1	L
306	89	216	1	O
343	88	133	3	L
305	79	215	11	O
288	88	91	3	R
123	85	33	5	O
165	89	136	2	L
155	77	142	1	L
123	89	33	1	O
286	89	271	4	R
117	58	27	32	O
291	88	201	2	O
108	89	18	1	O
349	89	340	1	L
284	77	95	0	R
293	86	203	4	O
291	84	201	6	O
140	84	134	7	L
117	84	27	6	O
114	88	24	2	O
300	88	210	2	O
158	81	149	10	L
111	89	21	1	O
151	86	313	6	L
285	89	91	1	R
105	86	93	3	R
301	86	211	4	O
299	72	209	18	O
280	82	270	2	R
284	89	85	1	R
89	87	264	5	R
90	83	255	5	R
99	82	74	1	R
90	84	258	4	R
134	77	44	13	O
94	87	79	1	R
124	89	34	1	O
321	79	231	11	O
94	84	264	5	R
15	89	285	1	C
16	86	286	4	C
13	85	283	5	C
41	86	311	4	C
53	82	323	8	C
26	89	296	1	C
43	83	313	7	C
214	90	124	0	C
21	82	291	8	C
31	86	301	4	C
56	77	326	13	C
16	87	286	3	C
11	83	281	7	C
39	89	309	1	C
203	85	113	5	C
