Input file:	Project_2.txt					Kinematic results:
Frac Strike	Frac Dip	Move Trend	Move Plunge	SoM	N	Theta	Gamma	DeltaV	e1	Trend	Plunge	e2	Trend	Plunge	e3	Trend	Plunge
306.00	  89.00	 216.00	   1.00	 --O	 33	   0.00	 0.0000	 1.0000	 1.0000	 216.00	   1.00	 -0.0000	  36.00	  89.00	 -0.0000	 306.00	   0.00
343.00	  88.00	 133.00	   3.00	 TLC	 34	 -119.81	 -0.8676	 -0.4972	 0.2514	 193.04	   4.99	 0.0000	   6.41	  84.98	 -0.7486	 102.99	   0.58
305.00	  79.00	 215.00	  11.00	 --O	 35	   0.00	 0.0000	 1.0000	 1.0000	 215.00	  11.00	 0.0000	 357.18	  76.18	 -0.0000	 123.38	   8.27
288.00	  88.00	 271.00	  -3.00	 NRO	 36	  73.14	 0.9570	 0.2900	 0.6450	  54.48	   0.62	 0.0000	 316.07	  85.76	 -0.3550	 144.53	   4.20
123.00	  85.00	  33.00	   5.00	 N-O	 37	   0.00	 0.0000	 1.0000	 1.0000	  33.00	   5.00	 0.0000	 302.76	   2.74	 -0.0000	 184.10	  84.29
165.00	  89.00	 316.00	  -2.00	 NLC	 38	 -119.02	 -0.8745	 -0.4850	 0.2575	 195.52	   0.99	 -0.0000	 315.01	  88.00	 -0.7425	 105.49	   1.74
155.00	  77.00	 322.00	  -1.00	 TLC	 39	 -102.89	 -0.9748	 -0.2231	 0.3885	  12.57	   9.58	 -0.0000	 236.29	  76.85	 -0.6115	 104.09	   8.92
123.00	  89.00	  33.00	   1.00	 --O	 40	   0.00	 0.0000	 1.0000	 1.0000	  33.00	   1.00	 -0.0000	 123.03	   1.64	 -0.0000	 271.71	  88.07
286.00	  89.00	 271.00	   4.00	 TRO	 41	  74.97	 0.9658	 0.2594	 0.6297	 233.45	   3.15	 -0.0000	  91.55	  86.00	 -0.3703	 323.59	   2.46
117.00	  58.00	  27.00	  32.00	 --O	 42	   0.00	 0.0000	 1.0000	 1.0000	  27.00	  32.00	 0.0000	 168.47	  51.38	 -0.0000	 284.39	  19.25
291.00	  88.00	 201.00	   2.00	 --O	 43	   0.00	 0.0000	 1.0000	 1.0000	 201.00	   2.00	 0.0000	  76.08	  86.51	 -0.0000	 291.10	   2.86
108.00	  89.00	  18.00	   1.00	 --O	 44	   0.00	 0.0000	 1.0000	 1.0000	  18.00	   1.00	 0.0000	 287.93	   4.07	 -0.0000	 121.79	  85.81
349.00	  89.00	 160.00	  -1.00	 NLC	 45	 -99.01	 -0.9876	 -0.1567	 0.4217	 209.50	   0.00	 0.0000	 119.50	  88.69	 -0.5783	 299.50	   1.31
284.00	  77.00	 275.00	  -0.00	 NRO	 46	  81.23	 0.9883	 0.1524	 0.5762	 235.14	   8.52	 0.0000	   5.00	  76.84	 -0.4238	 143.63	   9.95
293.00	  86.00	 203.00	   4.00	 --O	 47	   0.00	 0.0000	 1.0000	 1.0000	 203.00	   4.00	 -0.0000	 295.79	  34.79	 -0.0000	 107.29	  54.91
291.00	  84.00	 201.00	   6.00	 T-O	 48	   0.00	 0.0000	 1.0000	 1.0000	 201.00	   6.00	 0.0000	 110.69	   2.94	 -0.0000	 354.72	  83.31
140.00	  84.00	 314.00	  -7.00	 NLC	 49	 -96.66	 -0.9933	 -0.1159	 0.4420	 182.06	   0.75	 0.0000	 276.92	  81.25	 -0.5580	  91.95	   8.72
117.00	  84.00	  27.00	   6.00	 T-O	 50	   0.00	 0.0000	 1.0000	 1.0000	  27.00	   6.00	 -0.0000	 296.68	   3.02	 -0.0000	 180.09	  83.28
114.00	  88.00	  24.00	   2.00	 --O	 51	   0.00	 0.0000	 1.0000	 1.0000	  24.00	   2.00	 0.0000	 247.68	  87.24	 -0.0000	 114.07	   1.91
300.00	  88.00	 210.00	   2.00	 --O	 52	   0.00	 0.0000	 1.0000	 1.0000	 210.00	   2.00	 0.0000	 344.47	  87.15	 -0.0000	 119.93	   2.03
158.00	  81.00	 329.00	 -10.00	 NLC	 53	 -100.33	 -0.9838	 -0.1793	 0.4103	 198.60	   0.77	 -0.0000	 292.09	  77.56	 -0.5897	 108.43	  12.41
111.00	  89.00	  21.00	   1.00	 --O	 54	   0.00	 0.0000	 1.0000	 1.0000	  21.00	   1.00	 0.0000	 119.10	  82.94	 -0.0000	 290.88	   6.99
151.00	  86.00	 313.00	   6.00	 TLC	 55	 -107.41	 -0.9542	 -0.2993	 0.3504	   7.12	   8.47	 -0.0000	 178.69	  81.44	 -0.6496	 276.94	   1.24
285.00	  89.00	 271.00	  -1.00	 NRO	 56	  76.02	 0.9704	 0.2415	 0.6208	  53.00	   0.00	 -0.0000	 323.00	  88.38	 -0.3792	 143.00	   1.62
105.00	  86.00	  93.00	   3.00	 TRO	 57	  77.83	 0.9775	 0.2108	 0.6054	  54.02	   4.50	 0.0000	 223.97	  85.43	 -0.3946	 323.96	   0.79
301.00	  86.00	 211.00	   4.00	 --O	 58	   0.00	 0.0000	 1.0000	 1.0000	 211.00	   4.00	 -0.0000	 301.85	  11.93	 -0.0000	 102.78	  77.39
299.00	  72.00	 209.00	  18.00	 T-O	 59	   0.00	 0.0000	 1.0000	 1.0000	 209.00	  18.00	 0.0000	 354.93	  68.58	 -0.0000	 115.30	  11.22
280.00	  82.00	 270.00	   2.00	 TRO	 60	  79.82	 0.9843	 0.1767	 0.5884	 230.22	   6.52	 0.0000	  14.35	  81.98	 -0.4116	 139.69	   4.66
284.00	  89.00	 265.00	  -1.00	 NRO	 61	  71.02	 0.9457	 0.3252	 0.6626	  49.50	   0.00	 0.0000	 319.50	  88.28	 -0.3374	 139.50	   1.72
 89.00	  87.00	  84.00	  -5.00	 NRO	 62	  85.29	 0.9966	 0.0821	 0.5411	 221.44	   1.36	 0.0000	 118.56	  83.94	 -0.4589	 311.58	   5.91
 90.00	  83.00	  75.00	  -5.00	 NRO	 63	  75.80	 0.9694	 0.2453	 0.6226	  37.58	   1.26	 -0.0000	 134.84	  80.12	 -0.3774	 307.36	   9.80
 99.00	  82.00	  74.00	   1.00	 NRO	 64	  65.11	 0.9071	 0.4209	 0.7104	  41.68	   5.33	 -0.0000	 170.77	  81.58	 -0.2896	 311.07	   6.49
 90.00	  84.00	  78.00	  -4.00	 NRO	 65	  78.52	 0.9800	 0.1990	 0.5995	  39.07	   1.29	 -0.0000	 138.24	  81.98	 -0.4005	 308.89	   7.91
134.00	  77.00	  44.00	  13.00	 --O	 66	   0.00	 0.0000	 1.0000	 1.0000	  44.00	  13.00	 0.0000	 224.00	  77.00	 -0.0000	 314.00	   0.00
 94.00	  87.00	  79.00	   1.00	 TRO	 67	  74.97	 0.9658	 0.2593	 0.6297	  41.53	   2.52	 0.0000	 188.40	  86.99	 -0.3703	 311.45	   1.64
124.00	  89.00	  34.00	   1.00	 --O	 68	   0.00	 0.0000	 1.0000	 1.0000	  34.00	   1.00	 -0.0000	 124.01	   0.80	 -0.0000	 252.71	  88.72
321.00	  79.00	 231.00	  11.00	 T-O	 69	   0.00	 0.0000	 1.0000	 1.0000	 231.00	  11.00	 0.0000	  51.00	  79.00	 -0.0000	 321.00	   0.00
 94.00	  84.00	  84.00	  -5.00	 NRO	 70	  80.62	 0.9866	 0.1629	 0.5815	  44.04	   0.65	 0.0000	 138.39	  81.46	 -0.4185	 313.94	   8.52
 15.00	  89.00	 105.00	  -1.00	 --C	 71	 180.00	 0.0000	 -1.0000	 0.0000	 187.24	  82.63	 -0.0000	  15.13	   7.30	 -1.0000	 285.00	   1.00
 16.00	  86.00	 106.00	  -4.00	 N-C	 72	 180.00	 0.0000	 -1.0000	 -0.0000	 195.84	   2.27	 -0.0000	  76.38	  85.40	 -1.0000	 286.00	   4.00
 13.00	  85.00	 103.00	  -5.00	 --C	 73	 180.00	 0.0000	 -1.0000	 0.0000	 103.00	  85.00	 0.0000	  13.00	   0.00	 -1.0000	 283.00	   5.00
 41.00	  86.00	 131.00	  -4.00	 N-C	 74	 180.00	 0.0000	 -1.0000	 0.0000	  52.07	  69.99	 0.0000	 219.58	  19.57	 -1.0000	 311.00	   4.00
 53.00	  82.00	 143.00	  -8.00	 T-C	 75	 180.00	 0.0000	 -1.0000	 0.0000	  69.49	  63.66	 0.0000	 229.26	  24.92	 -1.0000	 323.00	   8.00
 26.00	  89.00	 116.00	  -1.00	 T-C	 76	 180.00	 0.0000	 -1.0000	 0.0000	  26.77	  37.74	 -0.0000	 204.71	  52.24	 -1.0000	 296.00	   1.00
 43.00	  83.00	 133.00	  -7.00	 N-C	 77	 180.00	 0.0000	 -1.0000	 0.0000	  43.00	   0.00	 -0.0000	 133.00	  83.00	 -1.0000	 313.00	   7.00
214.00	  90.00	 304.00	  -0.00	 --C	 78	 180.00	 0.0000	 -1.0000	 -0.0000	   0.00	  90.00	 0.0000	 214.00	  -0.00	 -1.0000	 124.00	   0.00
 21.00	  82.00	 111.00	  -8.00	 --C	 79	 180.00	 0.0000	 -1.0000	 0.0000	  21.00	   0.00	 -0.0000	 111.00	  82.00	 -1.0000	 291.00	   8.00
 31.00	  86.00	 121.00	  -4.00	 --C	 80	 180.00	 0.0000	 -1.0000	 0.0000	 144.37	  85.64	 -0.0000	  31.12	   1.72	 -1.0000	 301.00	   4.00
 56.00	  77.00	 146.00	 -13.00	 T-C	 81	 180.00	 0.0000	 -1.0000	 0.0000	  56.00	   0.00	 -0.0000	 146.00	  77.00	 -1.0000	 326.00	  13.00
 16.00	  87.00	 106.00	  -3.00	 --C	 82	 180.00	 0.0000	 -1.0000	 0.0000	  16.00	   0.00	 -0.0000	 106.00	  87.00	 -1.0000	 286.00	   3.00
 11.00	  83.00	 101.00	  -7.00	 --C	 83	 180.00	 0.0000	 -1.0000	 0.0000	 183.18	  47.95	 -0.0000	  17.17	  41.19	 -1.0000	 281.00	   7.00
 39.00	  89.00	 129.00	  -1.00	 --C	 84	 180.00	 0.0000	 -1.0000	 0.0000	  62.87	  87.53	 0.0000	 218.96	   2.26	 -1.0000	 309.00	   1.00
203.00	  85.00	 293.00	  -5.00	 --C	 85	 180.00	 0.0000	 -1.0000	 0.0000	  15.11	  57.50	 -0.0000	 206.14	  32.02	 -1.0000	 113.00	   5.00

						Moment tensor sum:
						e1	Trend	Plunge	e2	Trend	Plunge	e3	Trend	Plunge
						 0.3286	 211.70	   0.02	 0.0070	 121.36	  86.34	 -0.5006	 301.70	   3.66


